Kiitos.	Thank you.
Kiitti.	Thanks. (informal)
Kiitoksia.	Thanks.
Paljon kiitoksia.	Thanks a lot.
Suurkiitokset.	Many thanks.
Tuhannet kiitokset.	A thousand thanks.
Olen todella kiitollinen.	I am truly grateful.
Arvostan tätä suuresti.	I greatly appreciate this.
Kiitos paljon avusta.	Thank you very much for the help.
Kiitos avustasi.	Thanks for your help.
Olet ollut suureksi avuksi.	You have been a great help.
En olisi pärjännyt ilman sinua.	I couldn't have managed without you.
Kiitos, että autoit minua.	Thank you for helping me.
Tämä merkitsee minulle paljon.	This means a lot to me.
Olen sinulle palveluksen velkaa.	I owe you one.
Kiitos, kun muistutit.	Thanks for the reminder.
Kiitos muistutuksesta.	Thank you for the reminder.
Hyvä, että sanoit.	Good that you mentioned it.
Kiitos, että pidit mielessä.	Thanks for keeping it in mind.
Olin melkein unohtanut.	I had almost forgotten.
Oletpa ystävällinen.	How kind of you.
Se on todella ystävällistä sinulta.	That is very kind of you.
Kiitos kauniista sanoista.	Thank you for the kind words.
Oli ilo tavata.	It was a pleasure to meet you.
Oli todella mukava nähdä.	It was really nice to see you.
Kiitos seurasta.	Thanks for the company.
Kiitos, että kuuntelit.	Thank you for listening.
Kiitos kärsivällisyydestäsi.	Thank you for your patience.
Arvostan aikaasi.	I appreciate your time.
Kiitos, että tulit.	Thank you for coming.
Kiitos kutsusta.	Thanks for the invitation.
Kiitos vieraanvaraisuudesta.	Thank you for the hospitality.
Kaikki oli täydellistä, kiitos.	Everything was perfect, thank you.
Kiitos ihanasta illasta.	Thank you for a lovely evening.
Ruoka oli herkullista, kiitos.	The food was delicious, thank you.
Kiitos lahjasta.	Thank you for the gift.
Tämä on juuri sitä, mitä toivoin.	This is just what I hoped for.
Ei sinun olisi tarvinnut.	You shouldn't have.
Oletpa ajattelevainen.	How thoughtful of you.
Tämä piristi päivääni.	This brightened my day.
Kiitos hymystäsi.	Thank you for your smile.
On aina ilo nähdä sinut.	It's always a pleasure to see you.
Kiitos, että olet olemassa.	Thank you for being you.
Olet enkeli.	You're an angel.
Pelastit päiväni.	You saved my day.
Kiitos neuvosta.	Thanks for the advice.
Arvostan näkemystäsi.	I appreciate your insight.
Tämä auttoi paljon.	This helped a lot.
Hyvä pointti, kiitos.	Good point, thanks.
Mietin tätä, kiitos.	I will consider this, thank you.
Kiitos tiedosta.	Thanks for the information.
Kiitos selvennyksestä.	Thank you for the clarification.
Nyt ymmärrän paremmin, kiitos.	Now I understand better, thank you.
Kiitos nopeasta vastauksesta.	Thank you for the quick reply.
Kiitos vaivannäöstäsi.	Thank you for your effort.
Näit paljon vaivaa, kiitos.	You went to a lot of trouble, thank you.
Arvostan kovaa työtäsi.	I appreciate your hard work.
Hienosti tehty, kiitos.	Well done, thank you.
Kiitos, että jaksoit.	Thank you for your perseverance.
Kiitos kannustuksesta.	Thank you for the encouragement.
Se todella auttoi, kiitos.	That really helped, thank you.
Sain siitä paljon irti.	I got a lot out of that.
Kiitos tuesta.	Thank you for the support.
Olen kiitollinen tuestasi.	I'm grateful for your support.
Kiitos, samoin.	Thank you, likewise.
Kiitos, ja hyvää päivänjatkoa.	Thank you, and have a good day.
Kiitos, siunausta.	Thank you, bless you.
Olet aarre.	You're a treasure.
Kiitos, että pidit puoleni.	Thank you for sticking up for me.
Se oli hienosti tehty.	That was nicely done.
Kiitos kyydistä.	Thanks for the ride.
Kiitos, että toit minut kotiin.	Thank you for bringing me home.
Kiitos, kun autoit kantamisessa.	Thanks for helping me carry this.
Kiitos kahvista.	Thanks for the coffee.
Kiitos kaikesta.	Thanks for everything.
Olen ikuisesti kiitollinen.	I am forever grateful.
Sanaton kiitos.	A speechless thank you.
Ei sanat riitä kertomaan.	Words are not enough to express.
Kiitollisin mielin.	With a grateful mind.
Olet korvaamaton.	You are irreplaceable.
Kiitos, tämä oli todella tarpeen.	Thank you, this was really needed.
Arvostan elettäsi.	I appreciate your gesture.
Kiitos, että olet niin ymmärtäväinen.	Thank you for being so understanding.
Kiitos luottamuksesta.	Thank you for your trust.
On kunnia, kiitos.	It's an honor, thank you.
Sydämellinen kiitos.	A heartfelt thank you.
Kiitos, että ajattelit minua.	Thank you for thinking of me.
Se oli erittäin huomaavaista.	That was very considerate.
Kiitos rehellisyydestäsi.	Thank you for your honesty.
Arvostan suoruuttasi.	I appreciate your directness.
Kiitos, että teit päivästäni paremman.	Thank you for making my day better.
Olet todellinen ystävä.	You are a true friend.
Kiitos, että olet sinä.	Thank you for being you.
Kiitos, olet paras.	Thanks, you're the best.
