Hyvää iltaa, meillä on pöytävaraus kahdelle nimellä Korhonen.	Good evening, we have a table reservation for two under the name Korhonen.
Haluaisin varata pöydän kahdelle hengelle lauantai-illaksi.	I would like to reserve a table for two for Saturday evening.
Onko teillä vapaita pöytiä tänä iltana?	Do you have any available tables this evening?
Saisimmeko ruokalistat, olkaa hyvä.	Could we have the menus, please.
Haluaisimme tilata alkuun lasilliset samppanjaa.	We would like to order a glass of champagne to start.
Mikä on keittiömestarin suositus?	What is the chef's recommendation?
Suosittelisitteko jotain tiettyä viiniä tämän pääruoan kanssa?	Would you recommend a specific wine with this main course?
Haluaisimme maistelumenuun viinipaketilla.	We would like the tasting menu with the wine pairing.
Onko teillä kasvisvaihtoehtoa maistelumenusta?	Do you have a vegetarian option for the tasting menu?
Minulla on pähkinäallergia, onko tämä annos turvallinen minulle?	I have a nut allergy, is this dish safe for me?
Voiko tämän annoksen saada gluteenittomana?	Can this dish be made gluten-free?
Tämä alkuruoka on aivan erinomainen.	This appetizer is absolutely excellent.
Maut ovat todella hienostuneita.	The flavors are very sophisticated.
Sommelierin valinta oli täydellinen.	The sommelier's choice was perfect.
Voisimmeko saada lisää leipää, olkaa hyvä?	Could we have some more bread, please?
Kaikki on todella herkullista.	Everything is truly delicious.
Tunnelma täällä on hyvin elegantti.	The ambiance here is very elegant.
Palvelu on ollut moitteetonta.	The service has been impeccable.
Mitä ainesosia tässä kastikkeessa on?	What ingredients are in this sauce?
Tämä liha on uskomattoman mureaa.	This meat is incredibly tender.
Kuinka tämä kala on valmistettu?	How is this fish prepared?
Haluaisimme nähdä jälkiruokalistan.	We would like to see the dessert menu.
Otan suklaafondantin ja lasin jälkiruokaviiniä.	I'll have the chocolate fondant and a glass of dessert wine.
Kaksi espressoa, kiitos.	Two espressos, please.
Saisimmeko laskun, olkaa hyvä.	Could we have the bill, please.
Voiko laskun maksaa kortilla?	Can the bill be paid by card?
Haluaisimme maksaa erikseen.	We would like to pay separately.
Kiitos paljon, ilta oli täydellinen.	Thank you very much, the evening was perfect.
Voisitteko välittää kiitoksemme keittiömestarille?	Could you please pass our compliments to the chef?
Jätämme mielellämme juomarahaa.	We would gladly like to leave a tip.
Varauksemme on kello kahdeksalta.	Our reservation is at eight o'clock.
Juhlimme tänään hääpäiväämme.	We are celebrating our wedding anniversary today.
Saisinko lasin vettä, kivennäisvedellä.	May I have a glass of water, with sparkling water.
Mitä aperitiiviksi?	What would you like for an aperitif?
Haluaisin kokeilla jotain paikallista erikoisuutta.	I would like to try a local specialty.
Onko teillä viinilistaa?	Do you have a wine list?
Sommelier voisi auttaa meitä viinin valinnassa.	The sommelier could help us with the wine selection.
Valitsemme pullon punaviiniä.	We will choose a bottle of red wine.
Tämä viini tuoksuu ihanalta.	This wine smells wonderful.
Pääruoaksi otan kuhaa.	For the main course, I will have the pike-perch.
Mitä lisukkeita annokseen kuuluu?	What side dishes come with the portion?
Annos on kauniisti aseteltu lautaselle.	The dish is beautifully arranged on the plate.
Rakastan tätä esillepanoa.	I love this presentation.
Maku on jopa parempi kuin odotin.	The taste is even better than I expected.
Kertoisitko meille hieman tästä juustosta?	Could you tell us a little about this cheese?
Tilaamme juustolautasen jaettavaksi.	We will order the cheese platter to share.
Mikä on päivän keitto?	What is the soup of the day?
Onko mahdollista saada puolikas annos lapselle?	Is it possible to get a half portion for a child?
Tämä on ollut yksi parhaista aterioista, joita olen syönyt.	This has been one of the best meals I have ever eaten.
Voisitteko kutsua meille taksin?	Could you call a taxi for us?
Kiitos vieraanvaraisuudesta.	Thank you for your hospitality.
Palaamme varmasti uudelleen.	We will definitely come back again.
Onko tämä ravintola saanut Michelin-tähtiä?	Has this restaurant received any Michelin stars?
Meillä ei ole varausta, onko teillä tilaa?	We don't have a reservation, do you have space?
Voimmeko odottaa baarissa, kunnes pöytämme on valmis?	Can we wait at the bar until our table is ready?
Mikä on tämän viinin alkuperämaa?	What is the country of origin for this wine?
Haluaisin kevyen ja hedelmäisen valkoviinin.	I would like a light and fruity white wine.
Annan teidän valita puolestani.	I will let you choose for me.
Tarvitsemme hetken aikaa päättääksemme.	We need a moment to decide.
Olemme valmiita tilaamaan.	We are ready to order.
Miten kauan pääruoissa kestää?	How long will the main courses take?
Voimmeko saada viinin maistettavaksi?	Can we taste the wine?
Tämä on hyväksytty.	This is approved.
Saisinko uuden haarukan, pudotin omani.	Could I get a new fork, I dropped mine.
Anteeksi, mutta tämä ei ole sitä, mitä tilasin.	Excuse me, but this is not what I ordered.
Ruoka on hieman kylmää.	The food is a bit cold.
Voisitteko lämmittää tämän?	Could you heat this up?
Kaikki on nyt kunnossa, kiitos.	Everything is fine now, thank you.
Oliko kaikki mieleistä?	Was everything to your liking?
Kyllä, kaikki oli erinomaista.	Yes, everything was excellent.
Otan saman kuin hän.	I'll have the same as him/her.
Mikä on teidän suosituin jälkiruokanne?	What is your most popular dessert?
Tämä crème brûlée on täydellinen.	This crème brûlée is perfect.
Kahvin kanssa haluaisin konjakkia.	With my coffee, I would like a cognac.
Onko laskussa kaikki oikein?	Is everything correct on the bill?
Palvelumaksu sisältyy hintaan, eikö niin?	The service charge is included, isn't it?
Kiitos upeasta kokemuksesta.	Thank you for a wonderful experience.
Ravintolanne ylitti odotuksemme.	Your restaurant exceeded our expectations.
Olisiko mahdollista saada ikkunapöytä?	Would it be possible to get a window table?
Meillä on kiire, voisimmeko saada laskun nopeasti?	We are in a hurry, could we get the bill quickly?
Mitä te suosittelisitte digestiiviksi?	What would you recommend for a digestif?
Tämä on unohtumaton ilta.	This is an unforgettable evening.
Täydellinen päätös lomallemme.	A perfect end to our vacation.
Annoksen ulkonäkö on kuin taideteos.	The appearance of the dish is like a work of art.
Mausteet ovat täydellisessä tasapainossa.	The spices are in perfect balance.
Kala on täydellisen kypsää.	The fish is perfectly cooked.
Voitko kertoa lisää ravintolanne historiasta?	Can you tell me more about the history of your restaurant?
Haluaisimme kiittää kokkia henkilökohtaisesti.	We would like to thank the chef personally.
Tämä elämys oli joka euron arvoinen.	This experience was worth every euro.
Toivottavasti näemme pian uudelleen.	We hope to see you again soon.
Mikä upea näköala tästä pöydästä!	What a magnificent view from this table!
Haluaisin aloittaa ostereilla.	I would like to start with oysters.
Onko teillä tryffeliruokia?	Do you have any truffle dishes?
Tämä samppanja on erittäin kuivaa ja raikasta.	This champagne is very dry and crisp.
Punaviini sopii hyvin lihan kanssa.	The red wine pairs well with the meat.
Saisimmeko toisen pullon tätä vettä?	Could we have another bottle of this water?
Onko teillä alkoholittomia cocktaileja?	Do you have non-alcoholic cocktails?
Otan mielelläni suosituksenne vastaan.	I would be happy to accept your recommendation.
Emme ole vielä valmiita.	We are not ready yet.
Kaikki maistuu jumalaiselta.	Everything tastes divine.
Kiitos tarkkaavaisesta palvelusta.	Thank you for the attentive service.
Tämä oli kulinaarinen nautinto.	This was a culinary delight.
