Saisimmeko laskun, kiitos.	Could we have the bill, please.
Lasku, kiitos.	The bill, please.
Voinko maksaa?	Can I pay?
Olemme valmiita maksamaan.	We are ready to pay.
Maksaisin mielelläni nyt.	I would like to pay now.
Voinko maksaa kortilla?	Can I pay by card?
Hyväksyttekö luottokortteja?	Do you accept credit cards?
Otatteko American Expressiä?	Do you take American Express?
Voinko maksaa käteisellä?	Can I pay with cash?
Maksamme yhdessä.	We will pay together.
Maksamme erikseen, kiitos.	We will pay separately, please.
Voimmeko jakaa laskun?	Can we split the bill?
Haluaisimme jakaa laskun kahtia.	We would like to split the bill in half.
Voitko jakaa tämän laskun kolmelle?	Can you split this bill for three people?
Minä maksan kaiken.	I'll pay for everything.
Tämä menee minun piikkiini.	This one is on me.
Minä tarjoan.	It's my treat.
Palvelu oli erinomaista.	The service was excellent.
Ruoka oli herkullista, kiitos.	The food was delicious, thank you.
Jätetäänkö tippiä?	Should we leave a tip?
Paljonko tippiä pitäisi jättää?	How much of a tip should we leave?
Onko palvelumaksu sisällytetty laskuun?	Is the service charge included in the bill?
Suomessa palvelumaksu sisältyy yleensä hintaan.	In Finland, the service charge is usually included in the price.
Tippiä ei ole pakko jättää, mutta se on tervetullut ele.	Tipping is not obligatory, but it's a welcome gesture.
Voit pitää vaihtorahat.	You can keep the change.
Pidä loput.	Keep the rest.
Pyöristä ylöspäin viiteenkymmeneen euroon.	Round it up to fifty euros.
Lisää kymmenen prosenttia tippia, kiitos.	Please add a ten percent tip.
Voinko lisätä tipin korttimaksuun?	Can I add the tip to the card payment?
Jätän tipin käteisellä.	I'll leave the tip in cash.
Kiitos hyvästä palvelusta.	Thank you for the good service.
Laskussa näyttäisi olevan virhe.	There seems to be a mistake on the bill.
Anteeksi, mutta luulen että tämä lasku on väärä.	Excuse me, but I think this bill is incorrect.
Emme tilanneet tätä viinipulloa.	We did not order this bottle of wine.
Tämä ei ole meidän laskumme.	This is not our bill.
Voisitko tarkistaa laskun uudelleen?	Could you check the bill again?
Meiltä veloitettiin kahdesti leivästä.	We were charged twice for the bread.
Unohtui antaa alennus.	You forgot to apply the discount.
Saisinko kuitin, kiitos.	Could I have a receipt, please?
Tarvitsen kuitin kuluja varten.	I need a receipt for my expenses.
Onko kaikki kunnossa?	Is everything alright?
Kaikki oli täydellistä, kiitos.	Everything was perfect, thank you.
Annan kymmenen euron tipin.	I'll give a ten-euro tip.
Tämä on sinulle.	This is for you.
Erinomainen palvelu ansaitsee tipin.	Excellent service deserves a tip.
Maksan lähimaksulla.	I'll pay by contactless payment.
Voinko käyttää Apple Payta?	Can I use Apple Pay?
Syötä PIN-koodisi, kiitos.	Please enter your PIN code.
Alle kaksikymmentäviisi euroa voi yleensä maksaa lähimaksulla.	You can usually pay by contactless for amounts under twenty-five euros.
Kiitos paljon, hyvää illanjatkoa.	Thank you very much, have a good evening.
Näkemiin!	Goodbye!
Haluaisin maksaa osuuteni.	I would like to pay my share.
Minun osuuteni on kaksikymmentä euroa.	My share is twenty euros.
Mitä minä olen velkaa?	What do I owe?
Maksetaan puolet ja puolet.	Let's pay half and half.
Tämä paikka on vähän kallis.	This place is a bit expensive.
Hinta-laatusuhde oli kohdallaan.	The price-quality ratio was good.
Tulemme tänne toistekin.	We will come here again.
Suosittelen tätä ravintolaa ystävilleni.	I will recommend this restaurant to my friends.
Palvelu oli tänään hidasta.	The service was slow today.
Odotimme laskua pitkään.	We waited a long time for the bill.
Voitko antaa tämän suoraan tarjoilijalle?	Can you give this directly to the waiter?
Tippi jaetaan yleensä koko henkilökunnan kesken.	The tip is usually shared among the entire staff.
Oliko kaikki mieleistä?	Was everything to your liking?
Kyllä, kaikki oli oikein hyvää.	Yes, everything was very good.
Haluatko kuitin pussiin vai käteen?	Do you want the receipt in the bag or in your hand?
Laita vain pussiin, kiitos.	Just put it in the bag, please.
Ei kuittia, kiitos.	No receipt, thanks.
Kiitos käynnistä ja tervetuloa uudelleen!	Thank you for your visit and welcome again!
Voinko saada laskun eriteltynä?	Can I get an itemized bill?
Haluaisin tarkistaa, mitä kaikkea tilasimme.	I would like to check everything we ordered.
Jaa lasku tasan meidän kesken.	Split the bill evenly between us.
Minä maksan juomat, sinä maksat ruoat.	I'll pay for the drinks, you pay for the food.
Miten haluatte hoitaa maksun?	How would you like to handle the payment?
Voit lisätä viisi euroa tippinä.	You can add five euros as a tip.
Se tekee yhteensä kuusikymmentäseitsemän euroa.	That will be sixty-seven euros in total.
Hyväksymme yleisimmät pankki- ja luottokortit.	We accept most debit and credit cards.
Valitettavasti emme ota vastaan shekkejä.	Unfortunately, we do not accept checks.
Näppäile summa ja paina vihreää nappia.	Enter the amount and press the green button.
Allekirjoitus, kiitos.	Signature, please.
Kiitos ja hyvää päivänjatkoa!	Thank you and have a nice day!
Tässä on teidän vaihtorahanne.	Here is your change.
Tarkistakaa vaihtoraha.	Please check your change.
Tämä on tiimille keittiössä.	This is for the team in the kitchen.
Arvostamme todella ystävällisyyttänne.	We really appreciate your kindness.
Oli ilo palvella teitä.	It was a pleasure to serve you.
Toivottavasti kaikki maistui.	I hope you enjoyed everything.
Maksan tämän käteisellä ja loput kortilla.	I'll pay this with cash and the rest by card.
Voitko veloittaa kortiltani viisikymppiä ja antaa loput käteisenä?	Can you charge fifty on my card and I'll pay the rest in cash?
Pidä kiirettä, meillä on juna, johon pitää ehtiä.	Please hurry, we have a train to catch.
Anteeksi, mutta meillä on vähän kiire.	Excuse me, but we are in a bit of a hurry.
Onko mahdollista saada lasku nopeasti?	Is it possible to get the bill quickly?
Kiitos kärsivällisyydestänne.	Thank you for your patience.
Laskutusosoite on sama.	The billing address is the same.
Tarvitsen kuitin, jossa on yrityksen nimi.	I need a receipt with the company name on it.
Voitko kirjoittaa kuitin firman nimiin?	Can you write the receipt out to the company?
Tässä on tippiä vaivannäöstäsi.	Here's a tip for your trouble.
Kiitos avusta laskun kanssa.	Thank you for your help with the bill.
