Nilkkain nyrjähti eilen kävelyllä.	My ankle got sprained yesterday on a walk.
Kompastuin ja väänsin ranteeni.	I stumbled and twisted my wrist.
Se on vain pieni venähdys, ei mitään vakavaa.	It's just a minor sprain, nothing serious.
Lääkärin mukaan minulla on nyrjähdys polvessa.	According to the doctor, I have a sprain in my knee.
Nilkka on todella turvoksissa ja mustelmilla.	The ankle is really swollen and bruised.
Siihen sattuu, kun yritän astua sen päälle.	It hurts when I try to put weight on it.
Särky on pahempi yöllä.	The ache is worse at night.
Pitäisi varmaan käydä lääkärissä.	I should probably see a doctor.
Onkohan tämä murtunut vai vain nyrjähtänyt?	I wonder if this is broken or just sprained.
Lääkäri sanoi, että onneksi ei ole murtumaa.	The doctor said that luckily it's not a fracture.
Minun täytyy pitää jalkaa levossa muutaman päivän.	I need to rest my leg for a few days.
Kylmähoito auttaa turvotukseen.	Cold therapy helps with the swelling.
Pidän jääpussia nilkan päällä 20 minuuttia kerrallaan.	I'm keeping an ice pack on the ankle for 20 minutes at a time.
Sidoin sen tukisiteellä.	I wrapped it with a compression bandage.
Muista pitää jalkaa koholla.	Remember to keep the leg elevated.
Lääkäri määräsi tulehduskipulääkkeitä.	The doctor prescribed anti-inflammatory drugs.
Otan särkylääkettä tarvittaessa.	I take a painkiller when needed.
Voide lievittää kipua hieman.	The ointment relieves the pain a little.
Paraneminen vie aikaa.	Recovery takes time.
Yritän olla kärsivällinen tämän kanssa.	I'm trying to be patient with this.
En saa rasittaa sitä liikaa.	I'm not allowed to strain it too much.
Tämä on niin turhauttavaa.	This is so frustrating.
En malta odottaa, että pääsen taas liikkumaan kunnolla.	I can't wait to be able to move properly again.
Voitko auttaa minua kantamaan tämän?	Can you help me carry this?
Portaiden käveleminen on hieman hankalaa.	Walking up the stairs is a bit difficult.
Fysioterapeutti antoi minulle harjoituksia.	The physiotherapist gave me some exercises.
Teen varovaisia venytyksiä.	I'm doing some gentle stretches.
Nilkan liikkuvuus paranee hitaasti.	The ankle's mobility is slowly improving.
Tämä tuntuu jo paljon paremmalta.	This already feels much better.
Turvotus on laskenut huomattavasti.	The swelling has gone down considerably.
Käytän kyynärsauvoja liikkumiseen.	I'm using crutches to get around.
Nilkkatuki antaa hyvän tuen.	The ankle brace gives good support.
Nukuin viime yönä paremmin, kun kipu oli lievempää.	I slept better last night as the pain was milder.
Varasin ajan fysioterapeutille.	I booked an appointment with a physiotherapist.
On tärkeää vahvistaa lihaksia vamman ympärillä.	It's important to strengthen the muscles around the injury.
Yritän kävellä vähän joka päivä.	I try to walk a little every day.
Kuinka kauan luulet tämän kestävän?	How long do you think this will take?
Lääkärin arvio oli kaksi viikkoa lepoa.	The doctor's estimate was two weeks of rest.
Olen onnellinen, ettei se ollut pahempaa.	I'm happy it wasn't worse.
Kompressiosukka auttaa myös.	The compression sock also helps.
Vältän äkkinäisiä liikkeitä.	I'm avoiding sudden movements.
Kipu on nyt enemmän jomottavaa kuin terävää.	The pain is now more of a dull ache than sharp.
Pystyn jo varaamaan painoa jalalle vähän.	I can already put a little weight on the leg.
Toipuminen etenee suunnitellusti.	The recovery is progressing as planned.
Minun piti perua viikonlopun suunnitelmat.	I had to cancel my plans for the weekend.
On vaikea vain istua paikallaan.	It's hard to just sit still.
Katson paljon elokuvia toipuessani.	I'm watching a lot of movies while recovering.
Onneksi voin tehdä etätöitä.	Luckily, I can work remotely.
Autatko minua kauppaostoksissa?	Will you help me with the grocery shopping?
Nilkka on edelleen vähän jäykkä aamuisin.	The ankle is still a bit stiff in the mornings.
Fysioterapia tuntuu auttavan.	Physical therapy seems to be helping.
Opinpahan olemaan varovaisempi.	Well, at least I'll learn to be more careful.
Venähdys paranee yleensä itsestään.	A sprain usually heals on its own.
Mustelma on vaihtanut väriä.	The bruise has changed color.
Pian tämä on vain muisto vain.	Soon this will be just a memory.
Aloitan kevyellä harjoittelulla ensi viikolla.	I'll start with light exercise next week.
Lihakset tuntuvat heikoilta käytön puutteen vuoksi.	The muscles feel weak from lack of use.
Tasapainon harjoittaminen on tärkeää.	Practicing balance is important.
En halua, että tästä tulee krooninen vaiva.	I don't want this to become a chronic issue.
Kuuntelen kehoani enkä kiirehdi liikaa.	I'm listening to my body and not rushing things.
Jokainen päivä on askel parempaan.	Every day is a step towards improvement.
Pidän jalkaa ylhäällä tyynyjen päällä sohvalla.	I'm keeping my foot up on pillows on the sofa.
Kylmägeeli viilentää mukavasti.	The cold gel feels nicely cooling.
Toivottavasti pystyn ajamaan autoa pian.	I hope I can drive a car soon.
Kävely on vielä hidasta ja ontuvaa.	Walking is still slow and limping.
Sain sairauslomaa töistä.	I got sick leave from work.
Ystävät ovat tuoneet minulle ruokaa.	Friends have brought me food.
On tärkeää juoda paljon vettä.	It's important to drink a lot of water.
Tulehdusarvot olivat koholla.	The inflammation markers were elevated.
Röntgenkuvissa ei näkynyt murtumia.	The X-rays showed no fractures.
Ultraäänitutkimus vahvisti nivelsidevamman.	The ultrasound confirmed a ligament injury.
Sain ohjeet kotihoitoon.	I received instructions for home care.
Seuraava kontrollikäynti on viikon päästä.	The next follow-up appointment is in a week.
Kipu on hallinnassa lääkkeillä.	The pain is under control with medication.
Yritän liikutella varpaita turvotuksen vähentämiseksi.	I'm trying to move my toes to reduce swelling.
Tämä vamma opettaa kärsivällisyyttä.	This injury teaches patience.
En voi käyttää tavallisia kenkiäni.	I can't wear my normal shoes.
Sandaalit ovat ainoa vaihtoehto juuri nyt.	Sandals are the only option right now.
Onneksi on kesä.	Luckily, it's summer.
Miten onnistuin olemaan näin kömpelö?	How did I manage to be so clumsy?
Vahinko ei tule kello kaulassa.	Accidents happen.
Tuki on pestävä säännöllisesti.	The brace needs to be washed regularly.
Alan kyllästyä tähän sohvalla makaamiseen.	I'm getting tired of lying on this couch.
Kaipaan jo normaalia arkea.	I already miss my normal daily life.
Onneksi minulla on hyviä kirjoja luettavana.	Fortunately, I have good books to read.
Pieni kävely ulkona teki hyvää.	A short walk outside did me good.
Aurinko piristää mieltä.	The sun cheers up the mind.
Nilkka tuntuu vakaammalta tänään.	The ankle feels more stable today.
En uskalla vielä juosta.	I don't dare to run yet.
Aloitan pyöräilemällä kuntopyörällä.	I'll start by cycling on an exercise bike.
Lihaskunnon ylläpitäminen on haastavaa.	Maintaining muscle tone is challenging.
Olen kiitollinen saamastani avusta.	I'm grateful for the help I've received.
Toipuminen on maraton, ei sprintti.	Recovery is a marathon, not a sprint.
Pian voin taas lenkkeillä.	Soon I'll be able to go jogging again.
Tämä kokemus muistuttaa, ettei terveys ole itsestäänselvyys.	This experience reminds me that health is not to be taken for granted.
Olen oppinut kuuntelemaan kehoani paremmin.	I have learned to listen to my body better.
Kaiken kaikkiaan paranen hyvin.	All in all, I'm healing well.
Vielä on vähän arkuutta jäljellä.	There's still a little tenderness left.
Olen toiveikas täydestä toipumisesta.	I'm hopeful for a full recovery.
