Anteeksi, voitteko auttaa minua?	Excuse me, can you help me?
Etsin uutta paitaa.	I'm looking for a new shirt.
Onko teillä tätä koossa 38?	Do you have this in a size 38?
Missä sovituskopit sijaitsevat?	Where are the fitting rooms located?
Voinko sovittaa tätä?	Can I try this on?
Tämä on liian pieni.	This is too small.
Onko teillä tästä suurempaa kokoa?	Do you have this in a larger size?
Tämä on liian iso.	This is too large.
Löytyykö tätä hametta muissa väreissä?	Does this skirt come in other colors?
Mistä materiaalista tämä mekko on tehty?	What material is this dress made of?
Se sopii täydellisesti.	It fits perfectly.
Paljonko nämä housut maksavat?	How much do these trousers cost?
Menen kassalle.	I'm going to the checkout.
Voinko maksaa luottokortilla?	Can I pay by credit card?
Haluaisin palauttaa tämän neuleen.	I would like to return this sweater.
Minulla on kuitti tallella.	I have the receipt.
Katselen vain, kiitos.	I'm just looking, thanks.
Mistä löydän miesten osaston?	Where can I find the men's department?
Etsin sinisiä farkkuja.	I'm looking for blue jeans.
Voitko tarkistaa, onko tätä varastossa?	Could you check if this is in stock?
Tämä tuntuu todella mukavalta päällä.	This feels really comfortable on.
Mikä on teidän palautuskäytäntönne?	What is your return policy?
Onko tämä tuote alennuksessa?	Is this item on sale?
Otan tämän.	I'll take this one.
Kiitos avusta.	Thanks for the help.
Haluaisin sovittaa myös näitä kenkiä.	I would like to try these shoes on as well.
Onko tämä sataprosenttista puuvillaa?	Is this one hundred percent cotton?
Tämä väri sopii minulle hyvin.	This color suits me well.
Se on vähän liian kallis minulle.	It's a little too expensive for me.
Onko teillä jotain vastaavaa halvemmalla?	Do you have anything similar that's cheaper?
Pidän tästä leikkauksesta.	I like this cut.
Missä lastenvaatteet ovat?	Where are the children's clothes?
Tarvitsen uuden talvitakin.	I need a new winter coat.
Onko tämä vedenpitävä?	Is this waterproof?
Voiko tämän pestä pesukoneessa?	Can this be washed in a washing machine?
Mietin vielä hetken.	I'll think about it for a moment.
Näyttääkö tämä hyvältä?	Does this look good?
En ole aivan varma koosta.	I'm not quite sure about the size.
Voitko mitata vyötäröni?	Can you measure my waist?
Etsin jotain juhlavaa.	I'm looking for something festive.
Tämä on juuri sitä, mitä etsin.	This is exactly what I was looking for.
Onko alennus jo laskettu hintaan?	Is the discount already included in the price?
Saisinko kassin, kiitos?	Could I have a bag, please?
Tässä on pieni virhe.	There's a small flaw in this.
Voinko saada siitä alennusta?	Can I get a discount for it?
Haluaisin vaihtaa tämän toiseen väriin.	I'd like to exchange this for another color.
Myymälä on avoinna kymmeneen asti.	The store is open until ten.
Tämä on uusinta mallistoa.	This is from the latest collection.
Etsin lahjaa ystävälleni.	I'm looking for a gift for my friend.
Voitteko paketoida tämän lahjaksi?	Could you gift wrap this?
Tämä kuvio on todella mielenkiintoinen.	This pattern is really interesting.
Onko teillä sovituskoppi vapaana?	Do you have a fitting room free?
Kuinka monta vaatetta voin viedä koppiin?	How many items can I take into the fitting room?
Jätän tämän tähän.	I'll leave this here.
Tämä ei ole aivan minun tyyliäni.	This isn't quite my style.
Etsin jotain klassisempaa.	I'm looking for something more classic.
Onko teillä asiakasvessaa?	Do you have a customer toilet?
Tämä on valmistettu Suomessa.	This is made in Finland.
Se on erittäin laadukkaan oloinen.	It seems to be of very high quality.
Onko teillä kanta-asiakasohjelmaa?	Do you have a loyalty program?
Hyväksyttekö käteistä?	Do you accept cash?
Lähin pankkiautomaatti on kulman takana.	The nearest ATM is around the corner.
Tämä hiha on liian pitkä.	This sleeve is too long.
Voiko tätä lyhentää?	Can this be shortened?
Tarjoatteko korjauspalveluita?	Do you offer alteration services?
Tämä tuntuu hieman kireältä hartioista.	This feels a bit tight across theshoulders.
Se on valmistettu kierrätysmateriaaleista.	It's made from recycled materials.
Onko tämä aitoa nahkaa?	Is this genuine leather?
Etsin samanlaisia housuja kuin minulla on jalassa.	I'm looking for similar trousers to the ones I'm wearing.
Tämä puku on todella tyylikäs.	This suit is very elegant.
Tarvitsen siihen sopivan solmion.	I need a matching tie for it.
Myydäänkö täällä asusteita?	Do you sell accessories here?
Haluaisin kokeilla tuota hattua.	I'd like to try on that hat.
Se sopii silmiesi väriin.	It matches the color of your eyes.
Tämä on viimeinen kappale.	This is the last one.
Tuleeko näitä vielä lisää?	Will you be getting more of these in?
Voitteko varata tämän minulle?	Can you reserve this for me?
Kuinka kauan voin pitää varausta?	How long can I keep the reservation?
Maksan mieluummin lähimaksulla.	I'd prefer to pay with contactless.
Saisinko kuitin sähköpostiini?	Could I get the receipt to my email?
Ostin tämän eilen, mutta se on väärän kokoinen.	I bought this yesterday, but it's the wrong size.
Haluaisin rahat takaisin, jos mahdollista.	I would like a refund, if possible.
Voimme antaa sinulle lahjakortin.	We can give you a gift card.
Se sopii hyvin.	That's fine.
Missä alusvaateosasto on?	Where is the lingerie department?
Etsin urheiluliivejä.	I'm looking for a sports bra.
Tarvitsen apua oikean koon löytämisessä.	I need help finding the right size.
Tämä on todella imarteleva.	This is very flattering.
Se korostaa vartaloasi hyvin.	It accentuates your figure well.
Onko teillä alekoria?	Do you have a sales rack?
Löysin tämän löytönurkasta.	I found this in the clearance section.
Onko hinta varmasti oikein?	Are you sure the price is correct?
Tämä on todellinen löytö.	This is a real bargain.
Pukeudun mieluummin mukavasti.	I prefer to dress comfortably.
Onko teillä peiliä kopin ulkopuolella?	Do you have a mirror outside the cubicle?
Haluaisin näyttää tämän ystävälleni.	I would like to show this to my friend.
Mitä mieltä olet tästä?	What do you think of this?
Se näyttää upealta päälläsi.	It looks gorgeous on you.
